id,date,content
28,2022-09-09 16:24:58+00:00,"['sir', 'bharat', 'tbhi', 'judega', 'naa', 'jab', 'bharat', 'ke', 'log', 'judenge', 'log', 'jo', 'h', 'vo', 'hum', 'jaise', 'greeb', 'preshan', 'dukhi', 'log', 'hi', 'h', 'sir', 'mere', 'father', 'ki', 'death', 'vaccine', 'lene', 'se', 'huyi', 'thi', 'uske', 'baad', 'se', 'hi', 'meri', 'family', 'condition', 'bhut', 'jyada', 'khrab', 'ho', 'chuki', 'h', 'hum', 'bahut', 'preshan', 'h', 'sir', 'plz', 'hmari', 'help', 'kijiye']"
29,2022-09-09 16:20:05+00:00,"['queen', 'reach', 'king', 'did', 'kingisback', 'viratkohli']"
30,2022-09-09 16:07:30+00:00,"['pm', 'modi', 'ji', 'elizabeth', 'queen', 'elizabeththegreat', 'ripqueenelizabeth', 'royalfamily', 'narendramodi']"
31,2022-09-09 15:54:03+00:00,"['carry', 'jatta', 'shooting', 'started', 'london', 'uk', 'see', 'soon', 'cinema', 'congratulations', 'movie', 'team', 'humble', 'motion', 'picture']"
32,2022-09-09 15:43:03+00:00,"['elizabeth', 'gonesonia', 'aunti', 'onrahulji', 'good', 'player', 'foreigner', 'congress', 'destroying', 'countryafter', 'congress', 'govttodays', 'friendship', 'day', 'hinduism', 'hindustsn']"
33,2022-09-09 15:37:06+00:00,"['always', 'delight', 'meeting', 'speaking', 'her', 'warm', 'grounded', 'lady', 'march', 'presented', 'credentials', 'queenelizabethii', 'buckingham', 'palace', 'right', 'side', 'frame', 'meeting', 'queen', 'sajnx']"
34,2022-09-09 15:34:03+00:00,"['technically', 'queen', 'survive', 'india', 'taking', 'economy', 'well', 'time', 'queenelizabeth']"
35,2022-09-09 15:28:24+00:00,"['think', 'u', 'r', 'overreacting', 'sircalling', 'names', 'good', 'point', 'make', 'rebuttal', 'difference', 'desire', 'reality', 'uk', 'disappointment', 'due', 'thing', 'only', 'constructive', 'criticism', 'aims', 'improving', 'current', 'situation', 'always', 'better', 'fake', 'hopes']"
36,2022-09-09 15:25:36+00:00,"['mother', 'sent', 'message', 'father', 'went', 'one', 'queen', ""'s"", 'tea', 'receptions', 'dad', 'doctoral', 'student', 'oxford']"
37,2022-09-09 15:19:58+00:00,"['motto', 'british', 'monarch', 'dieu', 'et', 'mon', 'droit', 'god', 'amp', 'right', 'motto', 'indian', 'head', 'state', 'truth', 'alone', 'prevails', 'pm', 'modi', 'said', 'today', 'elizabeth', 'ii', 'stalwart', 'times', 'never', 'said', 'anything', 'like', 'nehru']"
38,2022-09-09 15:11:54+00:00,"['rip', 'thequeen']"
39,2022-09-09 15:10:04+00:00,"['proof', 'kya', 'hai']"
40,2022-09-09 15:01:43+00:00,"['day', 'today', 'british', 'monarch', 'king', 'george', 'v', 'stood', 'sun', 'supposedly', 'never', 'set', 'british', 'empire', 'years', 'laternetaji', 'challenged', 'british', 'empire', 'like', 'one', 'else', 'did', 'stands', 'tall', 'here', 'days', 'ago', 'surpassed', 'uk', 'fifth', 'largest', 'economy']"
41,2022-09-09 14:58:08+00:00,"['indian', 'govt', 'odd', 'days', 'lets', 'rename', 'roads', 'free', 'colonial', 'past', 'indian', 'govt', 'even', 'days', 'lets', 'declare', 'oneday', 'state', 'mourning', 'queen', 'statemourning', 'queenelizabeth']"
42,2022-09-09 14:58:01+00:00,"['rate', 'speed', 'wheels', 'justice', 'move', 'would', 'choke', 'person', 'deathhigh', 'time', 'matters', 'concerning', 'lifeamp', 'liberty', 'dealt', 'creating', 'dedicated', 'district', 'judiciary', 'amp', 'cadre', 'competent', 'men', 'district', 'handle', 'matters', 'soysrqdk']"
43,2022-09-09 14:55:18+00:00,['rip']
44,2022-09-09 14:49:23+00:00,"['eam', 'dr', 'jaishankar', 'pay', 'tributes', 'queen', 'elizabeth', 'monday', 'british', 'high', 'commission', 'condolence', 'book', 'opened', 'high', 'commission', 'se']"
45,2022-09-09 14:46:13+00:00,"['happy', 'hopefield', 'friday', 'bestie', 'miller', 'white', 'family', 'safe', 'take', 'care', 'miss', 'ya']"
46,2022-09-09 14:31:29+00:00,"['miss', 'much', 'childhood', 'was', 'tried', 'lot', 'make', 'always', 'failed']"
47,2022-09-09 14:22:28+00:00,"['queens', 'life', 'pictures', 'shpx']"
48,2022-09-09 14:12:39+00:00,"['food', 'sikkim', 'nepali', 'explore', 'sikkimese', 'cuisine', 'platetable', 'hv', 'takchang', 'pekyong', 'sikkim', 'at', 'dulal', 'family']"
49,2022-09-09 14:12:04+00:00,"['recently', 'lost', 'tycoon', 'unfortunate', 'incident', 'keep', 'harm', 'away', 'play', 'safe', 'seat', 'belts', 'essential', 'travelling', 'car', 'important', 'message', 'gadkari', 'jirip', 'mistri']"
50,2022-09-09 14:09:27+00:00,"['one', 'simple', 'question', 'descend', 'canonical', 'brits', 'monarch', 'blood', 'millions', 'amp', 'millions', 'multiple', 'continents', 'dies', 'supposed', 'show', 'class', 'respect', 'queenelizabethii', 'epitome', 'cruel', 'regime', 'elizabeth', 'queenelizabethiimemorial']"
51,2022-09-09 13:56:41+00:00,['rip']
52,2022-09-09 13:55:37+00:00,"['indeed', 'death', 'indeed', 'rip']"
53,2022-09-09 13:41:47+00:00,"['madam', 'aap', 'mahila', 'ho', 'main', 'maanta', 'hu', 'aapke', 'sath', 'galat', 'ho', 'rha', 'hai', 'lekin', 'ye', 'jo', 'police', 'hai', 'na', 'dalal', 'hai', 'bina', 'paise', 'ke', 'koi', 'kaam', 'nhi', 'karti', 'hai', 'mahilao', 'ke', 'liye', 'already', 'itne', 'kanoon', 'hai', 'mahila', 'thana', 'hai', 'already', 'wha', 'family', 'matter', 'ke', 'se', 'jyada', 'fake', 'case', 'chal', 'rhe', 'hai']"
54,2022-09-09 13:33:01+00:00,"['appropriate', 'step', 'taken', 'country', 'celebrating', 'azadikaamritmahotsav', 'queenelizabeth', 'indipendence', 'monarchy', 'colonialism', 'mygov']"
