,date,content
34,2022-09-08 18:02:22+00:00,"London Bridge has fallen Queen Elizabeth II  1926 - 2022. Queen Elizabeth Il, the UK's longest-serving monarch, has died at Balmoral aged 96, after reigning for 70 years. RIP Majesty!🙏🏻
 #QueenElizabeth #Queen #royalfamily

 #QueenElizabeth https://t.co/Sf4JNknG1g"
35,2022-09-08 17:53:37+00:00,The world has lost an icon and an inspiring historic figure. RIP #QueenElizabeth https://t.co/izcxQX4y8d
36,2022-09-08 17:48:39+00:00,"We offer our deepest condolences to the @RoyalFamily on the passing of Her Majesty Queen Elizabeth II.

#Queen #QueenElizabeth #RoyalFamily https://t.co/vq3KRw3Yb5"
37,2022-09-08 17:48:27+00:00,"Buckingham Palace has announced Her Majesty The Queen has died . Queen Elizabeth II, the UK's longest-serving monarch, has died at Balmoral aged 96, after reigning for 70 years.
#Queen #UK #englandwomen #Buckingham @Queen_UK #QueenElisabeth https://t.co/bQcQgG3KcV"
38,2022-09-08 17:46:50+00:00,Rest in peace 🙏 https://t.co/rAz8JU3CVH
39,2022-09-08 17:46:04+00:00,Britain's Queen Elizabeth passes away aged 96 RIP https://t.co/Hx2B39rhcn
40,2022-09-08 17:34:39+00:00,"Buckingham Palace announced the death of Queen Elizabeth, the 2nd https://t.co/pMQwBEtRey"
41,2022-09-08 17:32:51+00:00,"Death so mean, he knows I need him but he ain't coming! 
COME ON! PLEASE!"
42,2022-09-08 16:00:39+00:00,they’ll announce her death at 6pm UK time. Yall heard it here first x
43,2022-09-08 14:53:06+00:00,Rip sir 🥺 😭 https://t.co/qmrUmu1obn
44,2022-09-08 12:30:11+00:00,"Today marks the 40th day (chelum) of my grandfather, Nawabzada Hashim Khan Jogezai's death. May Allah Grant him a place in the highest ranks of Jannah. Everyone is requested to remember my grandfather in their prayers.
#nawabzadahashimkhanjogezai https://t.co/F12haGZQ6F"
45,2022-09-08 08:19:01+00:00,"Educationist, politician and the founder of Iqra University, Hunaid Lakhani passed away in Karachi after suffering from dengue. Registrar Iqra University confirmed the death of Hunaid Lakhani and shared that he died at a hospital where he was treated for dengue.

#TOKAlert https://t.co/8QKRqgegyf"
46,2022-09-08 07:44:57+00:00,Still not believing that he's no more 💔rest in peace. #HunaidLakhani @IqraUniOfficial
47,2022-09-08 05:15:15+00:00,"This is really a heart wrenching story 
Sindh flood situation is getting worse baby starves to death due to hunger in #KotDigi of #Khairpur #Sindh province of Pakistan
@BBhuttoZardari https://t.co/Mb91wujOKr"
48,2022-09-08 03:50:50+00:00,Heard about Hunaid Lakhani’s demise? Is that true? (Founder of Iqra University) cause of death: Dengue
49,2022-09-08 01:06:46+00:00,@ayeshaijazkhan @immorternal1 Stone to death.
0,2022-09-09 16:42:33+00:00,"He'll probably get a chance in the England series. For today's match, maybe the team management wanted the main batters (who they want to play in the XI) to spend time in the middle. https://t.co/mSvmQAwCt3"
1,2022-09-09 15:59:35+00:00,"Titanium Agency &amp; Homes extends its deepest sympathies to The Royal Family at this very difficult time.

Queen Elizabeth II
1926-2022

Queen Elizabeth II, the UK's longest-serving monarch, has died at Balmoral aged 96, after reigning for 70 years.

#titaniumagencyhomes https://t.co/805NN1cDip"
