,date,content
33,2022-09-09 17:11:59+00:00,@BullheadRanch @AlysonMetzger You don’t stop a pandemic with “You do you.” It only means more mass death and disability. Which is stretching our hospitals to the breaking point. Because our elected leadership is giving us nothing to help us. Nothing.
34,2022-09-09 17:11:34+00:00,"What a wonderful first speech as #KingCharles… heartfelt, genuine, and reassuring. We are in good hands… 🤴🏼 #KingCharlesIII"
35,2022-09-09 17:10:59+00:00,King Charles address - May flights of angels sing thee to your rest 😭😭😭😭😭#KingCharles #KingCharlesIII
36,2022-09-09 17:04:55+00:00,"@GrumFromNorwich @SarazamT @21stCenturyLeft @NuanceNews @Esqueer_ @MenshevikM Stop ignoring the fact that he broke the rules when he wanted to. It was his choice. 

Whether or not he was allowed to speak is not relevant 

The royal family can take stands when it suits them"
37,2022-09-09 17:00:22+00:00,McSorley’s: Fish &amp; Chips. Dark Ale. God Save Her Majesty the Queen 👑. https://t.co/tZikv7N6cb
38,2022-09-09 16:48:31+00:00,"A portrait of  #QueenElizabeth , the #UK and #USA flags, and flowers at the #QueenElizabethIIGarden in the #FinancialDistrict in #LowerManhattan . More on how #NYC is mourning the loss of #HerRoyalMajesty on @PIX11News all day. May she rest in peace. https://t.co/05QBFLt0RC"
39,2022-09-09 16:41:14+00:00,"This isn’t about a single person’s death. 

This is a moment to remind the world that it’s 2022 &amp; we shouldn’t have a KING or QUEEN in the first place.

The very EXISTENCE of excessive wealth &amp; power tied to hereditary royalty built off of colonialism is inescapably evil."
40,2022-09-09 16:34:21+00:00,have to start putting my vape on a leash .. rip peach mango sep 8 2022
41,2022-09-09 16:32:15+00:00,"Imagine being a Brit &amp; hate on Her Majesty The Queen for serving the people, her country and the entire world. #QueenElizabethII is a world role model which you Ms Proudman will never be in your life. You showed us in the fast few months that you hate not only men but women too. https://t.co/Rku9Nhd2fa"
42,2022-09-09 16:32:02+00:00,@apocylepto The Qatari royal family.
