,date,content
39,2022-09-08 17:38:49+00:00,"My prayers to the royal family and all the entire U.K. 
No one wears a hat like Queen Elizabeth II has. https://t.co/PYNkmlbmgJ"
40,2022-09-08 17:38:02+00:00,"Queen Elizabeth II has died at the age of 96. 
The announcement was made shortly after all her closest family arrived at Balmoral Castle in Scotland.
She was Britain’s longest reigning monarch. https://t.co/dVI1XfDDiH"
41,2022-09-08 15:56:21+00:00,"RIP David Arnold 💔 Damn man, bruh was hilarious. He was only days into his tour…this was so unexpected. Prayers to his family."
42,2022-09-08 15:14:07+00:00,"United Kingdom Royal family members are rushing to Balmoral Castle in Scotland because of news that Queen Elizabeth’s doctors are concerned for her health.
Prince Harry and Meghan Markle are among those headed there. https://t.co/QOcNWjlAlF"
43,2022-09-08 15:13:09+00:00,"Im really hoping THE QUEEN kicks the can. People have been brainwashed into thinking that monarchy is cool and hip. It’s just corrupt and disgusting.

F$&amp;@ “the royal family”"
44,2022-09-08 13:15:49+00:00,"As we watch the news this morning, our prayers are with The Queen, her Family and the People of the UK at this time. @ Garden Court Antiques https://t.co/RHdKkrzFFp"
0,2022-09-09 23:28:35+00:00,"my first trip to the UK one of the very first things i noticed was how much everyone seemed to really, really love the Queen.. i was so curious as to why, and i quickly learned 💕

The Queen's sense of humour: https://t.co/E0nBYBIxvt"
1,2022-09-09 23:13:41+00:00,@Bombergrl2000 Yep. And I don’t really have anything against the Royal Family. I’m just incredibly indifferent to all the fuss made over them.
2,2022-09-09 22:45:51+00:00,queen elizabeth’s death will single-handedly save netflix’s ass cause those streaming numbers for the crown are about to go crazy
3,2022-09-09 22:14:49+00:00,"@FoxNews @sunny is an opportunistic freeloader.  I believe she's a lawyer and I'm sure she makes plenty of money on the View, but sees an opportunity to cash in on the Queen's death.  How the Royal Family tells all those with outstretched hands to bugger off."
4,2022-09-09 21:52:21+00:00,"@VABVOX I was a 7-year old American kid whose family moved to Canada, and I saw Princess Elizabeth and he new husband Phillip. I knew something was wrong. They told us to wave, and I went to the back and didn’t. 2 years later, the Coronation. Canada was very British then."
5,2022-09-09 21:30:14+00:00,".@kmele and @mcmoynihan got on the horn to discuss the death of corgi-loving colonialist Queen Elizabeth II, moronic “anti-colonialist” Twitter: @wethefifth The Queen is Dead"" https://t.co/Dj4DIIXX4i"
6,2022-09-09 19:23:02+00:00,"“King Charles III addressed the UK following Queen Elizabeth II’s death” 
https://t.co/TAHwwyCkw0"
7,2022-09-09 19:09:11+00:00,"@Broken__America I actually liked Queen Elizabeth 2,  although I do not approve of the monarchy. I am First Generation Irish American. 

I have zero love for King Charles. None."
8,2022-09-09 18:03:48+00:00,"I’m trying to really understand if QE2 was just a figurehead &amp; didn’t have much say in how the UK govt was run, or was she a key decision maker? So many opinions are out there on how she carried and flouted the legacy of colonialism while others say she just inherited it."
9,2022-09-09 18:00:32+00:00,"So the British royal family are basically the Kardashians of Europe, got it"
10,2022-09-09 17:41:33+00:00,"The UK is about to get boring.

The greatest British cultural moments have always been under a queen ✨"
11,2022-09-09 15:49:09+00:00,What happens next after Queen’s death? A day-by-day schedule https://t.co/YcOyDvZKhp
12,2022-09-09 15:25:37+00:00,I know @3YearLetterman has an opinion on this. The royal family probably financed every waterbed in Buckingham Palace. https://t.co/RGpEOkl3ht
13,2022-09-09 14:54:49+00:00,@LoganCage8 @JeffBezos Why didn't you direct that to the queen? Why aren't you tweeting the Irish who are literally setting off fireworks and celebrating her death? Why do victims of her terror need to rise above instead of abolishing the terrorist organization that is the crown?
14,2022-09-09 14:23:35+00:00,"I pray that GOD will comfort your whole family. My condolences for all of you. RIP YOUR MAJESTY ☦️ @ Whittier, California https://t.co/P6cVRpzury"
15,2022-09-09 14:02:26+00:00,@MouseSized @mark__heath @KerridgePhil I’m not sure the death of the Queen makes the match unexpectedly unplayable. But perhaps her Royal ghost would be haunting the 18 yard box.
