,date,content
42,2022-09-08 17:40:38+00:00,RIP Her Majesty The Queen. A true legend has passed away. 🇬🇧 https://t.co/NPmpdhgxBd
43,2022-09-08 17:40:28+00:00,"Rest in peace, HM Queen Elizabeth II. https://t.co/aGljLt032c"
44,2022-09-08 17:39:46+00:00,Ich habe ehrlich gesagt mixt-feelings. Rest In Peace though your Highness #QueenElizabeth https://t.co/rsy8aS5akV
45,2022-09-08 17:38:37+00:00,We will all miss Her Majesty The Queen. RIP https://t.co/UGtBA8WcmU
46,2022-09-08 17:36:12+00:00,Oh nO!!! ☹️Rest in Peace Elisabeth II. https://t.co/Y2fpgBnxGn
47,2022-09-08 17:35:50+00:00,Rest In Peace https://t.co/kXEH6GQNtx
48,2022-09-08 17:35:36+00:00,Rest in Peace Her Majesty 🖤 https://t.co/0HzWbsDDNj
49,2022-09-08 17:33:47+00:00,May her Majesty Rest in Peace 😢 #QueenElizabeth
50,2022-09-08 17:32:31+00:00,"Oh wait, it was the Guardian.RIP Queeny"
51,2022-09-08 17:11:17+00:00,@MunibaKamal I too don't till her death but she is symbolic.
52,2022-09-08 17:03:45+00:00,Intrigued to find out who my initial source of the news of her majesty's passing shall be.Probably Jedward again. They're usually first to the post on the big world events.
53,2022-09-08 15:28:44+00:00,This really doesn't sound good 😥😥Royal Family gathering at Balmoral is 'a significant moment' | UK News | Sky News https://t.co/ygdYdzJ3d7
54,2022-09-08 15:06:18+00:00,RIP QUEEN ELIZABETH LMFAOOO https://t.co/YVdFhj6uMg
55,2022-09-08 14:36:03+00:00,I am thinking about and praying for #QueenElizabeth and her family as Her Majesty is under medical supervision with ill health. https://t.co/T3lIbu9FBK
56,2022-09-08 14:12:32+00:00,Her Majesty Queen Elizabeth II pictured in 1975 at Windsor. Copyright © Derek Hudson/Getty Images @GettyArchive @GettyImages https://t.co/FKdMiMpG4d
57,2022-09-08 09:19:54+00:00,"My favourite falafel in Berlin for many years. When I lived at 69 Urbanstr 11 years ago, I'd literally eat it every day. Was the only place you'd sometimes have to wait for service as they were praying. They used a kind of herb-mix no one else did. RIP and thanks for the grub."
0,2022-09-09 21:13:43+00:00,At least the Kardashains had the decency to give us a sex tape. What the fuck has the Royal Family given to us? https://t.co/IwumbtsAWk
1,2022-09-09 19:09:43+00:00,"Infosec Twitter: here are our 544 startups that help companies outsource their security needs.Also Infosec Twitter: Patreon outsourced their security needs??? LMBO, RIP. 🙏"
2,2022-09-09 06:02:18+00:00,Rest in Peace #QueenElizabeth 🤴 https://t.co/9BYWZvscjD
3,2022-09-09 05:58:05+00:00,‘London Bridge Is Down’: The Secret Plan for the Days After the Queen’s Death - first published in 2017 - https://t.co/sJKqevv66X via @Pocket
4,2022-09-08 22:58:39+00:00,Whatever one’s opinion of Monarchy she was certainly one of the best examples of it.RIP. https://t.co/x1WGGqMDLO
5,2022-09-08 22:54:42+00:00,"I'm so lucky saw her at the Platinum Jubilee Closing Ceremony.From June 1st to June 15th, I traveled to England, Scotland, and Northern Ireland, the Queen's flag was everywhere. The Queen relies on her own efforts and dedication to win the love of the British, not just the crown. https://t.co/9eLlrs1kDe"
6,2022-09-08 19:40:03+00:00,"Rest In Peace, Your Majesty! 🖤https://t.co/YAsqK5GiXj#QueenElizabeth #Queen"
7,2022-09-08 19:15:49+00:00,Why we all had such affection for the Queen. Rest in peace Queen Elizabeth. https://t.co/sIrIoJPh9d
8,2022-09-08 19:05:20+00:00,"Queen Elisabeth II #queenelizabeth RIP April 1926 - September 2022 #ThankYou for your service @ Munich, Germany https://t.co/xDVyN5RYJR"
9,2022-09-08 18:14:38+00:00,Rest in Peace  #QueenElizabeth 🖤 https://t.co/6nmJRt7Esh
10,2022-09-08 17:58:31+00:00,Rest in Peace #QueenElisabeth https://t.co/MZfxIemwy4
11,2022-09-08 17:41:06+00:00,RIP Her Majesty
12,2022-09-08 17:36:26+00:00,May she rest in peace. She was an extraordinary woman. 🇬🇧💔 #QueenElizabeth https://t.co/0OzPt8NaVk
13,2022-09-08 14:51:52+00:00,"@edvillainy ""Me and the boys workshopping jokes about the Queen's death"""
