,date,content
13,2022-09-09 06:12:51+00:00,"Day 904: Today Queen Elizabeth II of England passed away. Thank you your Majesty. #COVID19 cases keep rising! #WearAMask #GetVaccinated #GetBoosted Global:Cases: 607,456,078Deaths:6,510,643US:Cases: 95,118,482Deaths: 1,049,749Numbers for 9/8/22"
14,2022-09-09 06:08:15+00:00,"""A toast to her Majesty, the Queen"" - Ronald Reagan #TheQueen https://t.co/Mnk5rbjaBy"
15,2022-09-09 05:05:04+00:00,"RIP Bernard Shaw. A true pioneer in reporting, news and helping break barriers for African Americans in news. I remember his reporting from Baghdad in the early 90’s. A true stalwart. His style &amp; reporting is a model for future journalists."
16,2022-09-09 04:35:43+00:00,Nothing cures a hangover like the news of the Queen of England dying. I was able to go to class today even though I was feeling weak. The news gave me strength 🙏🏽
17,2022-09-09 04:23:19+00:00,RIP Queen Elizabeth you would’ve loved Lyfë by Yeat
18,2022-09-09 04:01:16+00:00,"I understand that the British Monarchy wasn't wonderful, and neither was the royal family, but some of these jokes are gross.A human died, y'all."
19,2022-09-09 03:24:50+00:00,Thank you your Majesty. We’ve got it from here. #QueenElizabethii #queenelizabeth https://t.co/2WmDU6ircr
20,2022-09-09 03:21:00+00:00,Idk what’s funnier schlatt being “accused of the queens death” or Trisha Paytas
21,2022-09-09 03:19:18+00:00,@kenzieKline Jesu Christ I was gonna say it’s from #Switzerland  but if you wanna trauma dump I’m here for it. #QueenElizabethII #rip
22,2022-09-09 02:35:56+00:00,About to raise a glass in honour of Her Majesty. https://t.co/OOi14yRetg
23,2022-09-09 02:20:47+00:00,Everyone seems to want to rip Queen Elizabeth today. I personally thought she seemed like a nice lady
24,2022-09-09 00:12:39+00:00,"#RIPBernardShaw #rip #CNN #PersianGulfWar #firstanchor Legendary journalist Bernard Shaw, CNN's first chief anchor, dies at 82 https://t.co/vDCfBDGQ2E via @YouTube"
25,2022-09-08 22:21:47+00:00,Please let this next announcement be Svdden death 🙏🏻
26,2022-09-08 21:41:24+00:00,I mean Betty White wasn’t the ruler of an imperialist country that was responsible for death and hardship for literal decades but yeah go on https://t.co/oIqmzBEBsg
27,2022-09-08 21:14:13+00:00,My mother may she RIP #AmyWinehouse https://t.co/fWd3QXaYJK https://t.co/FHDL6L30q3
28,2022-09-08 21:10:17+00:00,@julisnail Sullivan King b2b Svdden Death because why the fuck not
29,2022-09-08 20:40:48+00:00,Public Service is the highest calling and  I am so sad the world has lost one of the greatest we have ever know. RIP Queen Elizabeth.
30,2022-09-08 20:30:36+00:00,"It’s a shame that the life of this man who exemplified that thing we called “The American Dream” is being overshadowed by the death of a colonialist, cousin marrying, sexual assault covering up monarch. Long love Bernard Shaw and fuck the Queen. https://t.co/MTQERRwbu1"
31,2022-09-08 20:15:05+00:00,@SirJegz Him alright him post lady gangsta pan IG him mussi nuh hear bout d odda Queen yet fi fly gaw England pan him DL fi guh help mek preparations fi funeral 🙆🏽‍♀️😅
32,2022-09-08 20:10:50+00:00,Americans don’t understand that the queen had been a staple in England’s world for 93 years. She was a good queen as far as history goes. And even if they are “just figureheads” now they are still a large part of a long standing history. https://t.co/K6KpOvHLNc
33,2022-09-08 20:07:32+00:00,"To those of you who care about and who are mourning the passing of Queen Elizabeth II, I send you my sincerest sympathies. May you all find comfort during your grief with the memories of what she meant to all of you and may her royal majesty rest in peace.🙏🏾#QueenElizabethII"
34,2022-09-08 19:59:32+00:00,May your majesty rest in peace #QueenElizabeth https://t.co/q0Afp245Tp
35,2022-09-08 19:02:03+00:00,The Queen of England died! Wow
36,2022-09-08 19:00:24+00:00,Rest in peace. Queen Elizabeth. The only true queen. She will be missed.Queen Elizabeth II #England https://t.co/EpQYHamXnb
37,2022-09-08 18:43:01+00:00,Sincere condolences to the Royal family and the people of the UK. https://t.co/D1l4CK8DOi
38,2022-09-08 18:39:04+00:00,Rest In Peace Queen Elizabeth. Rest in peace love. Rest in peace you cheeky gal. It’s a shame you never got to see the iPhone 14 Pro Max. You would have loved to see the iPhone 14 pro max.
39,2022-09-08 18:36:31+00:00,@mishacollins May she rest in peace.
40,2022-09-08 18:32:33+00:00,@RoyalFamily Rest in peace 👑 Queen Elizabeth
41,2022-09-08 18:29:23+00:00,Rest In Peace https://t.co/nxBF8mXG5M
42,2022-09-08 18:24:31+00:00,love this photo of the Queen and an elderly woman named Elizabeth who murdered her daughter in-law #RIP https://t.co/4zWUwCztCe
43,2022-09-08 18:23:48+00:00,"@realcrazyguy69 @bigweenerguy94 Used my last day of PTO for the year, rip in peace my liege"
44,2022-09-08 18:21:09+00:00,A monumental day in British history. Rest In Peace your Majesty #QueenElizabeth https://t.co/0TypX7Fdx1
45,2022-09-08 18:19:06+00:00,Rip Queen! ❤️ https://t.co/AaZoEzVtwu
46,2022-09-08 18:18:29+00:00,Such sad news. She leaves a great legacy and the crown passes.  RIP Queen Elizabeth II. 👑 💔 #RIPQueenElizabeth Buckingham Palace just announced that Queen Elizabeth II has died. #GodSaveTheKing. #LondonBridgeIsFallinghttps://t.co/TkUvdz0AHQ
47,2022-09-08 18:08:58+00:00,What a historical day. RIP Queen Elizabeth II. I can’t believe we’re going to see the coronation of a King soon.
48,2022-09-08 18:05:09+00:00,"Rest In Peace, your Majesty."
49,2022-09-08 18:01:31+00:00,The queen is dead? RIP
