,date,content
32,2022-09-09 06:52:46+00:00,Rest in peace ☮️ Queen
33,2022-09-09 06:46:46+00:00,"When leader is unsecured around competent people, it is the end of an organisation...a slow death..look at all those who are surrounding RG .no mass support ..everyone is by nomination..in RS or in org.Credentials are so fragile, 40 odd MPs of LS should be leading the Yatra. https://t.co/fepp4Rnwwg"
34,2022-09-09 06:44:09+00:00,"Stunned with Part 1 Shiva..... 
. 
Now..... Waiting for Part 2 Dev 
(And RIP to those who said it's paid review/promotion) 
. 
. 
. 
. 
#BrahmashtraReview #BrahmastraMovie #Brahmashtra #Brahamastra #RanbirKapoor #AliaBhatt #AyanMukerji #brahmastra #Brahamastra https://t.co/pBMMZSrCCR"
35,2022-09-09 06:23:34+00:00,"10th death anniversary of 
Dr. V Kurien, Born: Nov 26,1921.
Died: Sept 9, 2012. Architect of India's largest agricultural development program, ever, in the world, involving 11 million farmer families. World Food Prize winner, Padma Vibhushan,  Padma Bhushan, Padma Shri.. https://t.co/4EOlOZrPeq"
36,2022-09-09 06:23:20+00:00,@narendramodi Yeah definitely. Late Her Majesty wasn't found of gang-rapists mass murderers rioters on top. She didn't distort the system extort the citizens for the few crony capitalist gangsters. You're rightly banned by the USA. You must be barred again.
37,2022-09-09 06:14:42+00:00,"10th death anniversary of 
Dr. V Kurien, Born: Nov 26,1921.
Died: Sept 9, 2012. Architect of India's largest agricultural development program, ever, in the world, involving 11 million farmer families. World Food Prize winner, Padma Vibhushan,  Padma Bhushan, Padma Shri .. https://t.co/1s2M3qMGOQ"
38,2022-09-09 06:05:11+00:00,"@Apple lost its soul after #SteveJobs' death. 💔😕

Now, more than a decade after his death, the #memes around #AppleEvent 2022 seem more creative than the product itself! 🙄😐

#RememberingSteveJobs #iPhone14 #launch"
39,2022-09-09 05:07:41+00:00,"Tribute to Ray Saheb Tagore Panchanan Barma, father of Rajvanshi nation on his death anniversary 🙏🏿🙏🏿 https://t.co/FPXHnINJ5B"
40,2022-09-09 05:04:05+00:00,@narendramodi @RahulGandhi Sir this is the difference between BJP n Congress. British Queen Sudden demise GOI condolences with Royal Family as a Independent Country. If Congress in power it will be Three Day National Mourn! 2014 Mentally independent Bharat!
41,2022-09-09 05:01:33+00:00,Longest period of a monarch. Now she may rest in peace. Kalky 🙏 https://t.co/PFpevwRnpt
