,date,content
33,2022-09-09 11:39:16+00:00,"Jaynee, I’m so glad that I won’t be doing any #voiceovers regarding the Royal family.  I just said #KingCharles III out loud  and it comes out as King Charles the Turd 💩 🙈 #IrishTwitter #irishbrogue https://t.co/ORk0kxoXI5"
34,2022-09-09 11:38:18+00:00,As to colonialism it’s fascinating to see how some in England are taking enormous offence to others in former (&amp; present day) British colonies who are expressing negative views on the Queen &amp; the Monarchy. It’s all about symbolism. Something Elizabeth II understood.
35,2022-09-09 11:38:17+00:00,"Tilbury was when Elizabeth I addressed her troops in 1588 as they waited to defend England against the Spanish Armada: ""I know I have the body but of a weak and feeble woman; but I have the heart and stomach of a king, and of a king of England too."" https://t.co/ubeG2o1JO6"
36,2022-09-09 11:38:14+00:00,"Thread: Gender Critter tries to appropriate Queen’s death to spread hate. Then has revelation. Wait until she discovers that transphobia, in seeking to dictate others’ bodily autonomy, is the ultimate colonialism. [when she reads Elizabeth I Tilbury Speech it will blow her mind] https://t.co/yCFDoQBXf5"
37,2022-09-09 11:04:44+00:00,My thoughts and prayers are with their mother brother family and friends today RIP angels xxx #tallaght https://t.co/Lwu80uwTXh
38,2022-09-09 10:47:26+00:00,#KingCharles Its Going To Be Hard Not To Say Spaniel Now
39,2022-09-09 10:42:42+00:00,"We recall the Royal visit to The Long Room with great fondness, a momentous occasion for us all. Our deepest sympathies. Rest in peace. ✨ @BookOfKellsTCD @tcddublin #QueenElizabethII https://t.co/4Vg56p2jnW https://t.co/Axg6uLDvTW"
40,2022-09-09 10:28:49+00:00,BBC just said “in every French person there is a streak of envy about the royal family”
41,2022-09-09 10:07:37+00:00,"I understand that one should not be crass on the occasion of death but the unrelenting glorification is too much to handle. Bro, your majesty oversaw torture, subjugation and exploitation of countless lives. Give us a break."
42,2022-09-09 09:35:58+00:00,Tbf this is probably nothing to do with the death and just people getting their hands on Halloween fireworks early. Bangers have been going off for weeks here. Also does this mean monkey nuts are in the shops!? 😍 https://t.co/VKiLFkvI0m
43,2022-09-09 09:28:31+00:00,"Our thoughts and solidarity is with the Cash and Cawley families and the wider #Tallaght community as they lay to rest their beloved Lisa, Christy and Chelsea this morning. May they rest in peace. https://t.co/ijo6Bf3kFf"
